id,id_toko,link_pdf,created_at,nomor_ulok,lingkup_pekerjaan,nama_toko,cabang
115,1367,https://drive.google.com/file/d/1WiSWYyROzSVs_eOyF5mWVepf9v1iHf0U/view?usp=drivesdk,2026-05-08 16:07:55,2PZ1-2508-0007,ME,MT Haryono Baru,TEGAL
116,1370,https://drive.google.com/file/d/1a9R4lMzNIayFqZc7xszu5g9fCE5iKt1R/view?usp=drivesdk,2026-05-08 16:07:55,2PZ1-2508-0007,SIPIL,MT HARYONO BARU,TEGAL
122,1326,https://drive.google.com/file/d/1U7bAOzHEbEHbqO2veLAYgLOKKWYNYMFY/view?usp=drivesdk,2026-05-13 14:23:47,2PZ1-2602-0005,ME,HARJASARI SURADADI,TEGAL
120,1279,https://drive.google.com/file/d/1cYpyFEYvpyoZ3hPJZ43RSkOL6Mr8LhmF/view?usp=drivesdk,2026-05-12 15:05:53,2PZ1-2604-0006,ME,KENDAYAKAN,TEGAL
119,1274,https://drive.google.com/file/d/1mOCwzMa--383VbPAqcjDNGgn0oGnpaCI/view?usp=drivesdk,2026-05-12 15:05:53,2PZ1-2604-0006,SIPIL,KENDAYAKAN,TEGAL
194,1810,https://drive.google.com/file/d/1vgpNcaz3CxJY7GNoWCGnCMnmuopN6e3s/view?usp=drivesdk,2026-06-25 17:55:07.139939,2PZ1-I034-0526,ME,AW SUMARMO,TEGAL
146,1808,https://drive.google.com/file/d/1HLCbdeSbNkjXSw4lt6nfaC-Nd1e3Re7i/view?usp=drivesdk,2026-06-22 13:56:38.933337,2PZ1-I034-0526,SIPIL,AW SUMARMO,TEGAL
197,1598,https://drive.google.com/file/d/1Lyn08fstJt0cd6e2mT0KNSBuwpA9itID/view?usp=drivesdk,2026-06-26 15:37:39.9207,2SZ1-2508-0009,ME,HEPUHULAWA LIMBOTO,GORONTALO
188,1437,https://drive.google.com/file/d/1o6N4A-pLt6myaVAU4e1fcvLaUv-311Ca/view?usp=drivesdk,2026-06-25 11:03:59.975219,2VZ1-2603-0001,ME,BULU CENRANA SIDRAP,LUWU
182,1434,https://drive.google.com/file/d/1QCHu3tWVXvRwkybT7m6teHDzRdGBGqqT/view?usp=drivesdk,2026-06-24 07:56:49.04153,2VZ1-2603-0001,SIPIL,BULU CENRANA SIDRAP,LUWU
228,1219,https://drive.google.com/file/d/1gdT6Q2epnZhFPGjqAvXDy2uoTZca3uNb/view?usp=drivesdk,2026-04-14 00:00:00,2VZ1-2603-0002-R,SIPIL,TELLULIMPOE WAJO,LUWU
229,1297,https://drive.google.com/file/d/1rlJErXINo-A-93ZobnbYmh0DotfBPSa6/view?usp=drivesdk,2026-05-25 00:00:00,2VZ1-2603-0003,SIPIL,SEBA-SEBA LUWU,LUWU
230,1371,https://drive.google.com/file/d/1V0gZpuVFLC7KNb3kTge2DaddopM9L3vJ/view?usp=drivesdk,2026-06-11 00:00:00,2VZ1-2603-0004,ME,TAMUKU LUWU UTARA,LUWU
231,1369,https://drive.google.com/file/d/1nAQSFFQ7zLNeqb5iRKK7OZ5fC-3YvHpy/view?usp=drivesdk,2026-06-11 00:00:00,2VZ1-2603-0004,SIPIL,TAMUKU LUWU UTARA,LUWU
232,1341,https://drive.google.com/file/d/10NFb-67ZLoppqWtRijnRcOtd3o55Fv0y/view?usp=drivesdk,2026-06-11 00:00:00,2VZ1-2603-0006,ME,LARA LUWU UTARA,LUWU
233,1337,https://drive.google.com/file/d/1J0yEcDTMpSn27yPYpj_T03_3lwvSa-uC/view?usp=drivesdk,2026-06-11 00:00:00,2VZ1-2603-0006,SIPIL,LARA LUWU UTARA,LUWU
