"id","id_gantt","kategori_pekerjaan"
883,69,PEKERJAAN PERSIAPAN
884,69,PEKERJAAN BOBOKAN / BONGKARAN
885,69,PEKERJAAN TANAH
886,69,PEKERJAAN PONDASI & BETON
887,69,PEKERJAAN PASANGAN
888,69,PEKERJAAN BESI
889,69,PEKERJAAN KERAMIK
890,69,PEKERJAAN PLUMBING
891,69,PEKERJAAN SANITARY & ACECORIES
892,69,PEKERJAAN JANITOR
893,69,PEKERJAAN ATAP
894,69,PEKERJAAN FINISHING
895,69,PEKERJAAN TAMBAHAN
896,69,PEKERJAAN BEANSPOT
897,69,PEKERJAAN AREA TERBUKA
898,70,INSTALASI
899,70,FIXTURE
900,70,PEKERJAAN TAMBAHAN
1321,99,INSTALASI
1322,99,FIXTURE
1323,99,PEKERJAAN TAMBAHAN
1366,104,PEKERJAAN PERSIAPAN
1367,104,PEKERJAAN BOBOKAN / BONGKARAN
1368,104,PEKERJAAN TANAH
1369,104,PEKERJAAN PONDASI & BETON
1370,104,PEKERJAAN PASANGAN
1371,104,PEKERJAAN KERAMIK
1372,104,PEKERJAAN PLUMBING
1373,104,PEKERJAAN SANITARY & ACECORIES
1374,104,PEKERJAAN ATAP
1375,104,PEKERJAAN FINISHING
1376,104,PEKERJAAN TAMBAHAN
1807,119,INSTALASI
1430,109,INSTALASI
1431,109,FIXTURE
1432,109,PEKERJAAN TAMBAHAN
584,48,PEKERJAAN PERSIAPAN
585,48,PEKERJAAN BOBOKAN / BONGKARAN
586,48,PEKERJAAN PASANGAN
587,48,PEKERJAAN KERAMIK
251,27,INSTALASI
252,27,FIXTURE
253,27,PEKERJAAN TAMBAHAN
254,27,PEKERJAAN PERSIAPAN
255,27,PEKERJAAN BOBOKAN / BONGKARAN
588,48,PEKERJAAN FINISHING
589,48,PEKERJAAN BEANSPOT
590,48,PEKERJAAN TAMBAHAN
434,40,PEKERJAAN PERSIAPAN
435,40,PEKERJAAN TANAH
436,40,PEKERJAAN PONDASI & BETON
437,40,PEKERJAAN PASANGAN
438,40,PEKERJAAN BESI
439,40,PEKERJAAN KERAMIK
266,28,PEKERJAAN PERSIAPAN
267,28,PEKERJAAN BOBOKAN / BONGKARAN
268,28,PEKERJAAN PONDASI & BETON
269,28,PEKERJAAN PASANGAN
270,28,PEKERJAAN KERAMIK
271,28,PEKERJAAN PLUMBING
272,28,PEKERJAAN SANITARY & ACECORIES
273,28,PEKERJAAN JANITOR
274,28,PEKERJAAN FINISHING
275,28,PEKERJAAN TAMBAHAN
440,40,PEKERJAAN BEANSPOT
441,40,PEKERJAAN PLUMBING
442,40,PEKERJAAN SANITARY & ACECORIES
443,40,PEKERJAAN TAMBAHAN
444,40,PEKERJAAN ATAP
445,40,PEKERJAAN FINISHING
446,40,PEKERJAAN BOBOKAN / BONGKARAN
286,29,PEKERJAAN PERSIAPAN
287,29,PEKERJAAN BOBOKAN / BONGKARAN
288,29,PEKERJAAN PONDASI & BETON
289,29,PEKERJAAN PASANGAN
290,29,PEKERJAAN KERAMIK
291,29,PEKERJAAN PLUMBING
292,29,PEKERJAAN SANITARY & ACECORIES
293,29,PEKERJAAN JANITOR
294,29,PEKERJAAN FINISHING
295,29,PEKERJAAN TAMBAHAN
2398,169,PEKERJAAN PERSIAPAN
2399,169,PEKERJAAN BOBOKAN / BONGKARAN
2400,169,PEKERJAAN TANAH
2401,169,PEKERJAAN PONDASI & BETON
2402,169,PEKERJAAN TAMBAHAN
312,31,INSTALASI
313,31,FIXTURE
314,31,PEKERJAAN TAMBAHAN
324,33,INSTALASI
325,33,FIXTURE
326,33,PEKERJAAN TAMBAHAN
329,34,INSTALASI
330,34,FIXTURE
1452,111,PEKERJAAN PERSIAPAN
1453,111,PEKERJAAN BOBOKAN / BONGKARAN
1454,111,PEKERJAAN TANAH
1455,111,PEKERJAAN PONDASI & BETON
1456,111,PEKERJAAN PASANGAN
1457,111,PEKERJAAN BESI
1458,111,PEKERJAAN TAMBAHAN
1459,111,PEKERJAAN ATAP
1460,111,"PEKERJAAN KUSEN, PINTU & KACA"
1461,111,PEKERJAAN FINISHING
1462,111,PEKERJAAN KERAMIK
1463,111,PEKERJAAN PLUMBING
1464,111,PEKERJAAN SANITARY & ACECORIES
462,41,PEKERJAAN PERSIAPAN
463,41,PEKERJAAN BOBOKAN / BONGKARAN
388,32,PEKERJAAN PERSIAPAN
389,32,PEKERJAAN BOBOKAN / BONGKARAN
390,32,PEKERJAAN TANAH
391,32,PEKERJAAN PASANGAN
392,32,PEKERJAAN BESI
393,32,PEKERJAAN ATAP
394,32,PEKERJAAN FINISHING
1488,42,INSTALASI
1489,42,FIXTURE
1490,42,PEKERJAAN TAMBAHAN
395,32,PEKERJAAN BEANSPOT
396,32,PEKERJAAN TAMBAHAN
397,37,PEKERJAAN PERSIAPAN
398,37,PEKERJAAN BOBOKAN / BONGKARAN
399,37,PEKERJAAN PASANGAN
400,37,"PEKERJAAN KUSEN, PINTU & KACA"
401,37,PEKERJAAN BESI
402,37,PEKERJAAN AREA TERBUKA
403,37,PEKERJAAN FINISHING
404,37,PEKERJAAN TAMBAHAN
405,39,INSTALASI
406,39,FIXTURE
407,39,PEKERJAAN TAMBAHAN
464,41,PEKERJAAN TANAH
465,41,PEKERJAAN PONDASI & BETON
466,41,PEKERJAAN PASANGAN
467,41,PEKERJAAN KERAMIK
468,41,PEKERJAAN PLUMBING
469,41,PEKERJAAN SANITARY & ACECORIES
470,41,PEKERJAAN JANITOR
471,41,PEKERJAAN ATAP
472,41,"PEKERJAAN KUSEN, PINTU & KACA"
473,41,PEKERJAAN FINISHING
474,41,PEKERJAAN AREA TERBUKA
475,41,PEKERJAAN TAMBAHAN
476,41,PEKERJAAN BESI
581,47,INSTALASI
582,47,FIXTURE
583,47,PEKERJAAN TAMBAHAN
1808,119,FIXTURE
1809,119,PEKERJAAN TAMBAHAN
591,49,INSTALASI
592,49,FIXTURE
593,49,PEKERJAAN TAMBAHAN
1860,135,INSTALASI
1861,135,FIXTURE
1862,135,PEKERJAAN TAMBAHAN
1885,139,PEKERJAAN PERSIAPAN
1886,139,PEKERJAAN BOBOKAN / BONGKARAN
1887,139,PEKERJAAN TANAH
1888,139,PEKERJAAN PASANGAN
1889,139,PEKERJAAN KERAMIK
1890,139,PEKERJAAN PLUMBING
1891,139,PEKERJAAN SANITARY & ACECORIES
1892,139,PEKERJAAN JANITOR
509,44,INSTALASI
510,44,FIXTURE
511,44,PEKERJAAN TAMBAHAN
512,36,INSTALASI
513,36,FIXTURE
514,36,PEKERJAAN TAMBAHAN
515,36,PEKERJAAN PERSIAPAN
516,36,PEKERJAAN BOBOKAN / BONGKARAN
517,36,PEKERJAAN TANAH
518,36,PEKERJAAN PONDASI & BETON
519,36,PEKERJAAN PASANGAN
520,36,PEKERJAAN BESI
521,36,PEKERJAAN KERAMIK
522,36,PEKERJAAN PLUMBING
523,36,PEKERJAAN SANITARY & ACECORIES
524,36,PEKERJAAN JANITOR
525,36,PEKERJAAN ATAP
526,36,"PEKERJAAN KUSEN, PINTU & KACA"
527,36,PEKERJAAN FINISHING
528,36,PEKERJAAN AREA TERBUKA
1324,100,PEKERJAAN PERSIAPAN
1325,100,PEKERJAAN BOBOKAN / BONGKARAN
1326,100,PEKERJAAN TANAH
1327,100,PEKERJAAN PONDASI & BETON
1328,100,PEKERJAAN TAMBAHAN
1329,100,PEKERJAAN PASANGAN
1330,100,PEKERJAAN BESI
1331,100,PEKERJAAN KERAMIK
1332,100,PEKERJAAN PLUMBING
1333,100,PEKERJAAN SANITARY & ACECORIES
1334,100,PEKERJAAN ATAP
1335,100,"PEKERJAAN KUSEN, PINTU & KACA"
1336,100,PEKERJAAN FINISHING
1337,100,PEKERJAAN BEANSPOT
1377,105,PEKERJAAN PERSIAPAN
1378,105,PEKERJAAN BOBOKAN / BONGKARAN
1379,105,PEKERJAAN PONDASI & BETON
1893,139,PEKERJAAN ATAP
1894,139,"PEKERJAAN KUSEN, PINTU & KACA"
1895,139,PEKERJAAN FINISHING
1896,139,PEKERJAAN PONDASI & BETON
1897,139,PEKERJAAN BESI
1898,139,PEKERJAAN AREA TERBUKA
1899,139,PEKERJAAN TAMBAHAN
1933,38,PEKERJAAN PERSIAPAN
1934,38,PEKERJAAN BOBOKAN / BONGKARAN
